,customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
2886,15262,324,3,418.82,2,2,2,6,At Risk
2887,15263,107,1,156.51,3,1,1,5,At Risk
2888,15264,64,2,848.4,3,2,3,8,Needs Attention
2889,15265,151,4,3345.64,3,3,5,11,Loyal Customers
2890,15266,338,5,852.21,2,3,3,8,Needs Attention
2891,15267,22,5,1717.36,4,3,4,11,Loyal Customers
2892,15268,479,3,961.9000000000001,1,2,3,6,At Risk
2893,15269,24,3,1225.3600000000001,4,2,3,9,Needs Attention
2894,15270,16,21,8524.86,5,5,5,15,Champions
2895,15271,7,24,4709.54,5,5,5,15,Champions
2896,15272,57,6,2085.48,4,3,4,11,Loyal Customers
2897,15273,600,1,228.96,1,1,1,3,At Risk
2898,15274,4,2,716.57,5,2,3,10,Loyal Customers
2899,15275,38,1,615.14,4,1,2,7,Needs Attention
2900,15276,66,4,649.53,3,3,3,9,Needs Attention
2901,15277,47,2,476.34,4,2,2,8,Needs Attention
2902,15278,562,4,496.15999999999997,1,3,2,6,At Risk
2903,15279,355,5,1580.54,2,3,4,9,Needs Attention
2904,15280,172,3,406.21999999999997,3,2,2,7,Needs Attention
2905,15281,59,16,8543.57,4,5,5,14,Champions
2906,15282,570,1,348.59,1,1,2,4,At Risk
2907,15283,390,3,148.33,2,2,1,5,At Risk
2908,15284,500,1,24.75,1,1,1,3,At Risk
2909,15285,408,1,94.92,2,1,1,4,At Risk
2910,15286,50,1,240.55,4,1,1,6,At Risk
2911,15287,22,5,856.03,4,3,3,10,Loyal Customers
2912,15288,43,10,3883.13,4,4,5,13,Champions
2913,15289,29,5,1593.09,4,3,4,11,Loyal Customers
2914,15290,5,26,10496.28,5,5,5,15,Champions
2915,15291,26,40,13846.56,4,5,5,14,Champions
2916,15292,201,1,180.94,2,1,1,4,At Risk
2917,15293,666,1,247.5,1,1,1,3,At Risk
2918,15294,411,1,233.35,1,1,1,3,At Risk
2919,15295,654,1,217.23999999999998,1,1,1,3,At Risk
2920,15296,51,12,10342.83,4,4,5,13,Champions
2921,15297,10,3,641.94,5,2,3,10,Loyal Customers
2922,15298,2,23,9459.37,5,5,5,15,Champions
2923,15299,67,10,7991.54,3,4,5,12,Loyal Customers
2924,15300,64,1,496.44,3,1,2,6,At Risk
2925,15301,51,17,7603.4400000000005,4,5,5,14,Champions
2926,15302,730,1,308.0,1,1,2,4,At Risk
2927,15303,290,3,1224.18,2,2,3,7,Needs Attention
2928,15304,61,9,919.5500000000001,3,4,3,10,Loyal Customers
2929,15305,555,1,93.6,1,1,1,3,At Risk
2930,15306,64,9,3484.73,3,4,5,12,Loyal Customers
2931,15307,96,1,205.3,3,1,1,5,At Risk
2932,15308,274,1,310.47,2,1,2,5,At Risk
2933,15309,611,4,797.96,1,3,3,7,Needs Attention
2934,15310,479,1,1634.64,1,1,4,6,At Risk
2935,15311,1,208,116771.16,5,5,5,15,Champions
2936,15312,75,12,2930.19,3,4,4,11,Loyal Customers
2937,15313,110,1,52.0,3,1,1,5,At Risk
2938,15314,199,3,820.4499999999999,2,2,3,7,Needs Attention
2939,15315,64,2,570.5,3,2,2,7,Needs Attention
2940,15316,327,1,165.0,2,1,1,4,At Risk
2941,15317,677,1,129.75,1,1,1,3,At Risk
2942,15318,4,1,312.62,5,1,2,8,Needs Attention
2943,15319,284,1,204.5,2,1,1,4,At Risk
2944,15320,44,1,267.13,4,1,1,6,At Risk
2945,15321,71,12,6709.7300000000005,3,4,5,12,Loyal Customers
2946,15322,86,2,1390.86,3,2,4,9,Needs Attention
2947,15323,563,3,434.6,1,2,2,5,At Risk
2948,15324,701,1,140.22000000000003,1,1,1,3,At Risk
2949,15325,104,8,1602.01,3,4,4,11,Loyal Customers
2950,15326,334,5,1700.52,2,3,4,9,Needs Attention
2951,15327,53,1,208.75,4,1,1,6,At Risk
2952,15328,408,1,107.24,2,1,1,4,At Risk
2953,15329,39,11,2984.33,4,4,5,13,Champions
2954,15330,32,2,714.96,4,2,3,9,Needs Attention
2955,15331,500,3,767.91,1,2,3,6,At Risk
2956,15332,366,6,6553.74,2,3,5,10,Loyal Customers
2957,15333,208,1,1028.56,2,1,3,6,At Risk
2958,15334,157,3,351.67,3,2,2,7,Needs Attention
2959,15335,54,1,173.97,4,1,1,6,At Risk
2960,15336,402,1,240.5,2,1,1,4,At Risk
2961,15337,411,1,373.02,1,1,2,4,At Risk
2962,15338,677,1,283.43,1,1,1,3,At Risk
2963,15339,66,7,1827.84,3,3,4,10,Loyal Customers
2964,15340,562,1,105.5,1,1,1,3,At Risk
2965,15341,81,2,2402.7200000000003,3,2,4,9,Needs Attention
2966,15342,130,1,406.09,3,1,2,6,At Risk
2967,15343,87,1,364.5,3,1,2,6,At Risk
2968,15344,1,3,563.94,5,2,2,9,Needs Attention
2969,15345,46,1,393.54,4,1,2,7,Needs Attention
2970,15346,333,3,596.12,2,2,2,6,At Risk
2971,15347,366,4,1363.6,2,3,4,9,Needs Attention
2972,15348,72,1,158.04,3,1,1,5,At Risk
2973,15349,158,2,473.81,3,2,2,7,Needs Attention
2974,15350,373,2,663.25,2,2,3,7,Needs Attention
2975,15351,12,10,3738.29,5,4,5,14,Champions
2976,15352,549,1,114.95,1,1,1,3,At Risk
2977,15353,255,7,3175.95,2,3,5,10,Loyal Customers
2978,15354,603,3,284.4,1,2,1,4,At Risk
2979,15355,29,2,277.05,4,2,1,7,Needs Attention
2980,15356,31,13,3464.95,4,4,5,13,Champions
2981,15358,5,42,17050.41,5,5,5,15,Champions
2982,15359,663,8,181.35,1,4,1,6,At Risk
2983,15360,40,1,427.93,4,1,2,7,Needs Attention
2984,15361,362,4,689.07,2,3,3,8,Needs Attention
2985,15362,449,2,613.08,1,2,2,5,At Risk
2986,15363,373,2,1004.11,2,2,3,7,Needs Attention
2987,15364,96,2,913.19,3,2,3,8,Needs Attention
2988,15365,26,13,4557.13,4,4,5,13,Champions
2989,15366,75,7,2389.08,3,3,4,10,Loyal Customers
2990,15367,57,11,5081.33,4,4,5,13,Champions
2991,15368,21,2,722.74,4,2,3,9,Needs Attention
2992,15369,492,11,6251.26,1,4,5,10,Loyal Customers
2993,15370,41,8,3739.01,4,4,5,13,Champions
2994,15371,662,1,59.400000000000006,1,1,1,3,At Risk
2995,15372,137,8,6017.06,3,4,5,12,Loyal Customers
2996,15373,8,17,3421.39,5,5,5,15,Champions
2997,15374,129,2,307.32,3,2,2,7,Needs Attention
2998,15375,690,1,60.959999999999994,1,1,1,3,At Risk
2999,15376,40,3,1233.3600000000001,4,2,3,9,Needs Attention
3000,15377,383,4,1211.75,2,3,3,8,Needs Attention
3001,15378,463,2,246.5,1,2,1,4,At Risk
3002,15379,169,8,4877.84,3,4,5,12,Loyal Customers
3003,15380,9,11,3479.0600000000004,5,4,5,14,Champions
3004,15381,214,5,1890.5700000000002,2,3,4,9,Needs Attention
3005,15382,15,12,13733.550000000001,5,4,5,14,Champions
3006,15384,170,4,2027.79,3,3,4,10,Loyal Customers
3007,15385,40,3,942.08,4,2,3,9,Needs Attention
3008,15386,186,1,394.14,3,1,2,6,At Risk
3009,15387,492,1,468.65,1,1,2,4,At Risk
3010,15388,270,1,140.54,2,1,1,4,At Risk
3011,15389,172,5,2733.8,3,3,4,10,Loyal Customers
3012,15390,396,2,1216.66,2,2,3,7,Needs Attention
3013,15391,584,1,289.87,1,1,1,3,At Risk
3014,15392,5,7,2911.62,5,3,4,12,Loyal Customers
3015,15393,16,5,891.34,5,3,3,11,Loyal Customers
3016,15394,10,11,5286.8,5,4,5,14,Champions
3017,15395,326,1,107.45,2,1,1,4,At Risk
3018,15396,113,2,796.38,3,2,3,8,Needs Attention
3019,15397,290,1,94.0,2,1,1,4,At Risk
3020,15398,16,2,1345.53,5,2,4,11,Loyal Customers
3021,15399,1,3,815.77,5,2,3,10,Loyal Customers
3022,15400,92,8,1302.3,3,4,4,11,Loyal Customers
3023,15401,452,2,216.95000000000002,1,2,1,4,At Risk
3024,15402,149,6,1830.54,3,3,4,10,Loyal Customers
3025,15403,492,2,170.88,1,2,1,4,At Risk
3026,15404,376,1,257.06,2,1,1,4,At Risk
3027,15405,189,2,659.84,3,2,3,8,Needs Attention
3028,15406,31,4,975.87,4,3,3,10,Loyal Customers
3029,15407,34,4,1056.44,4,3,3,10,Loyal Customers
3030,15408,264,1,267.18,2,1,1,4,At Risk
3031,15409,721,1,131.25,1,1,1,3,At Risk
3032,15410,84,10,4685.72,3,4,5,12,Loyal Customers
3033,15411,26,4,1358.88,4,3,4,11,Loyal Customers
3034,15412,171,1,190.53,3,1,1,5,At Risk
3035,15413,692,5,6798.72,1,3,5,9,Needs Attention
3036,15414,10,3,774.9000000000001,5,2,3,10,Loyal Customers
3037,15415,313,1,572.8100000000001,2,1,2,5,At Risk
3038,15416,65,7,4572.82,3,3,5,11,Loyal Customers
3039,15417,85,1,508.8,3,1,2,6,At Risk
3040,15418,425,2,452.32,1,2,2,5,At Risk
3041,15419,25,1,135.86,4,1,1,6,At Risk
3042,15420,434,6,743.0,1,3,3,7,Needs Attention
3043,15421,59,10,3805.34,4,4,5,13,Champions
3044,15422,323,7,1619.97,2,3,4,9,Needs Attention
3045,15423,38,3,266.89,4,2,1,7,Needs Attention
3046,15424,254,3,597.78,2,2,2,6,At Risk
3047,15425,400,4,1944.57,2,3,4,9,Needs Attention
3048,15426,19,9,2615.39,5,4,4,13,Champions
3049,15427,33,3,1483.14,4,2,4,10,Loyal Customers
3050,15428,15,4,762.75,5,3,3,11,Loyal Customers
3051,15429,27,2,397.35,4,2,2,8,Needs Attention
3052,15430,468,2,954.75,1,2,3,6,At Risk
3053,15431,503,1,153.24,1,1,1,3,At Risk
3054,15432,23,2,320.76,4,2,2,8,Needs Attention
3055,15433,214,2,533.3,2,2,2,6,At Risk
3056,15434,8,11,2567.06,5,4,4,13,Champions
3057,15435,22,1,149.29,4,1,1,6,At Risk
3058,15436,12,3,1122.53,5,2,3,10,Loyal Customers
3059,15437,262,2,393.45,2,2,2,6,At Risk
3060,15438,131,1,156.57999999999998,3,1,1,5,At Risk
3061,15439,405,4,1269.05,2,3,4,9,Needs Attention
3062,15440,55,3,383.68,4,2,2,8,Needs Attention
3063,15441,396,3,1254.21,2,2,4,8,Needs Attention
3064,15442,249,1,594.0,2,1,2,5,At Risk
3065,15443,2,14,5175.93,5,5,5,15,Champions
3066,15444,9,2,1418.26,5,2,4,11,Loyal Customers
3067,15445,264,2,284.5,2,2,1,5,At Risk
3068,15446,377,3,406.95,2,2,2,6,At Risk
3069,15447,331,5,492.88,2,3,2,7,Needs Attention
3070,15448,313,2,788.81,2,2,3,7,Needs Attention
3071,15449,26,3,974.52,4,2,3,9,Needs Attention
3072,15450,30,1,429.84,4,1,2,7,Needs Attention
3073,15451,434,2,233.21,1,2,1,4,At Risk
3074,15452,30,6,1799.1100000000001,4,3,4,11,Loyal Customers
3075,15453,2,7,1388.37,5,3,4,12,Loyal Customers
3076,15454,362,2,307.69,2,2,2,6,At Risk
3077,15455,598,1,38.25,1,1,1,3,At Risk
3078,15456,283,10,2119.27,2,4,4,10,Loyal Customers
3079,15457,262,1,237.07,2,1,1,4,At Risk
3080,15458,25,2,370.43999999999994,4,2,2,8,Needs Attention
3081,15459,417,2,202.82999999999998,1,2,1,4,At Risk
3082,15460,354,1,216.76,2,1,1,4,At Risk
3083,15461,461,2,429.7,1,2,2,5,At Risk
3084,15462,94,4,737.05,3,3,3,9,Needs Attention
3085,15463,29,1,126.14,4,1,1,6,At Risk
3086,15464,338,1,1048.85,2,1,3,6,At Risk
3087,15465,20,32,12655.65,4,5,5,14,Champions
3088,15466,85,4,1571.01,3,3,4,10,Loyal Customers
3089,15467,9,3,524.88,5,2,2,9,Needs Attention
3090,15468,51,3,1430.48,4,2,4,10,Loyal Customers
3091,15469,50,3,874.25,4,2,3,9,Needs Attention
3092,15470,576,1,63.419999999999995,1,1,1,3,At Risk
3093,15471,2,3,1316.56,5,2,4,11,Loyal Customers
3094,15472,113,1,371.56,3,1,2,6,At Risk
3095,15473,14,8,2046.0,5,4,4,13,Champions
3096,15474,596,1,163.1,1,1,1,3,At Risk
3097,15475,77,1,454.10999999999996,3,1,2,6,At Risk
3098,15476,380,4,2209.98,2,3,4,9,Needs Attention
3099,15477,650,1,368.4,1,1,2,4,At Risk
3100,15478,40,3,2024.98,4,2,4,10,Loyal Customers
3101,15479,733,1,147.4,1,1,1,3,At Risk
3102,15480,116,5,6279.0,3,3,5,11,Loyal Customers
3103,15481,401,1,1993.34,2,1,4,7,Needs Attention
3104,15482,16,19,14592.56,5,5,5,15,Champions
3105,15483,161,10,862.2,3,4,3,10,Loyal Customers
3106,15484,1,6,4656.0,5,3,5,13,Champions
3107,15485,30,7,5771.51,4,3,5,12,Loyal Customers
3108,15486,527,1,102.0,1,1,1,3,At Risk
3109,15487,680,1,231.32,1,1,1,3,At Risk
3110,15488,93,5,431.92,3,3,2,8,Needs Attention
3111,15489,23,8,2419.61,4,4,4,12,Loyal Customers
3112,15490,430,1,217.6,1,1,1,3,At Risk
3113,15491,95,6,3100.09,3,3,5,11,Loyal Customers
3114,15492,28,2,659.4599999999999,4,2,3,9,Needs Attention
3115,15493,33,9,4314.9800000000005,4,4,5,13,Champions
3116,15494,21,5,3780.05,4,3,5,12,Loyal Customers
3117,15495,379,1,246.5,2,1,1,4,At Risk
3118,15496,631,1,146.14000000000001,1,1,1,3,At Risk
3119,15497,18,9,8657.39,5,4,5,14,Champions
3120,15498,3,44,26039.58,5,5,5,15,Champions
3121,15499,724,1,161.6,1,1,1,3,At Risk
3122,15500,8,4,1131.56,5,3,3,11,Loyal Customers
3123,15501,405,2,402.5,2,2,2,6,At Risk
3124,15502,16,14,13993.47,5,5,5,15,Champions
3125,15503,363,2,267.15,2,2,1,5,At Risk
3126,15504,81,4,423.85,3,3,2,8,Needs Attention
3127,15505,53,5,3610.96,4,3,5,12,Loyal Customers
3128,15506,23,6,2040.03,4,3,4,11,Loyal Customers
3129,15507,172,1,492.36,3,1,2,6,At Risk
3130,15508,189,6,1000.27,3,3,3,9,Needs Attention
3131,15509,380,1,166.51,2,1,1,4,At Risk
3132,15510,331,1,250.0,2,1,1,4,At Risk
3133,15511,12,5,909.23,5,3,3,11,Loyal Customers
3134,15512,156,4,331.58,3,3,2,8,Needs Attention
3135,15513,33,35,27750.55,4,5,5,14,Champions
3136,15514,12,18,6598.55,5,5,5,15,Champions
3137,15515,387,1,171.81,2,1,1,4,At Risk
3138,15516,45,3,62.43,4,2,1,7,Needs Attention
3139,15517,233,1,267.03,2,1,1,4,At Risk
3140,15518,64,15,4218.94,3,5,5,13,Champions
3141,15519,383,2,344.61,2,2,2,6,At Risk
3142,15520,2,1,343.5,5,1,2,8,Needs Attention
3143,15521,40,16,7106.69,4,5,5,14,Champions
3144,15522,33,2,398.84,4,2,2,8,Needs Attention
3145,15523,84,16,17359.99,3,5,5,13,Champions
3146,15524,25,2,591.4,4,2,2,8,Needs Attention
3147,15525,2,4,1295.7,5,3,4,12,Loyal Customers
3148,15526,33,2,148.44,4,2,1,7,Needs Attention
3149,15527,19,23,5575.64,5,5,5,15,Champions
3150,15528,254,1,229.33,2,1,1,4,At Risk
3151,15529,23,12,5111.95,4,4,5,13,Champions
3152,15530,22,5,1813.72,4,3,4,11,Loyal Customers
3153,15531,8,2,2007.44,5,2,4,11,Loyal Customers
3154,15532,25,10,3771.9,4,4,5,13,Champions
3155,15533,19,3,807.57,5,2,3,10,Loyal Customers
3156,15534,726,1,162.25,1,1,1,3,At Risk
3157,15535,173,6,1087.82,3,3,3,9,Needs Attention
3158,15536,409,1,259.09,2,1,1,4,At Risk
3159,15537,163,1,110.92,3,1,1,5,At Risk
3160,15538,538,6,3358.3999999999996,1,3,5,9,Needs Attention
3161,15539,7,1,538.46,5,1,2,8,Needs Attention
3162,15540,11,2,460.68,5,2,2,9,Needs Attention
3163,15541,114,1,85.13000000000001,3,1,1,5,At Risk
3164,15542,512,3,918.45,1,2,3,6,At Risk
3165,15543,288,2,242.84,2,2,1,5,At Risk
3166,15544,9,20,8162.43,5,5,5,15,Champions
3167,15545,54,2,428.05,4,2,2,8,Needs Attention
3168,15546,607,2,1079.1000000000001,1,2,3,6,At Risk
3169,15547,7,26,10154.39,5,5,5,15,Champions
3170,15548,596,1,158.09,1,1,1,3,At Risk
3171,15549,77,8,2345.96,3,4,4,11,Loyal Customers
3172,15550,4,12,2218.8,5,4,4,13,Champions
3173,15551,37,7,1710.08,4,3,4,11,Loyal Customers
3174,15552,217,2,252.52,2,2,1,5,At Risk
3175,15553,60,1,437.23,3,1,2,6,At Risk
3176,15554,278,1,217.2,2,1,1,4,At Risk
3177,15555,12,36,12112.35,5,5,5,15,Champions
3178,15556,24,1,279.77,4,1,1,6,At Risk
3179,15557,29,1,473.65000000000003,4,1,2,7,Needs Attention
3180,15558,639,1,214.13,1,1,1,3,At Risk
3181,15559,568,1,1109.4,1,1,3,5,At Risk
3182,15560,398,2,153.52,2,2,1,5,At Risk
3183,15561,12,8,1934.3899999999999,5,4,4,13,Champions
3184,15562,352,3,673.3800000000001,2,2,3,7,Needs Attention
3185,15563,22,7,2867.0,4,3,4,11,Loyal Customers
3186,15564,463,2,70.74000000000001,1,2,1,4,At Risk
3187,15565,50,2,173.16,4,2,1,7,Needs Attention
3188,15566,393,2,227.87,2,2,1,5,At Risk
3189,15567,19,1,186.01,5,1,1,7,Needs Attention
3190,15568,3,3,758.29,5,2,3,10,Loyal Customers
3191,15569,104,10,3586.35,3,4,5,12,Loyal Customers
3192,15570,7,25,9311.04,5,5,5,15,Champions
3193,15571,12,14,4051.63,5,5,5,15,Champions
3194,15572,5,10,4068.67,5,4,5,14,Champions
3195,15573,32,5,1207.18,4,3,3,10,Loyal Customers
3196,15574,178,6,1518.7,3,3,4,10,Loyal Customers
3197,15575,620,1,30.1,1,1,1,3,At Risk
3198,15576,38,1,940.6700000000001,4,1,3,8,Needs Attention
3199,15577,151,5,397.98,3,3,2,8,Needs Attention
3200,15578,162,1,127.1,3,1,1,5,At Risk
3201,15579,69,5,1302.5,3,3,4,10,Loyal Customers
3202,15580,377,8,1381.19,2,4,4,10,Loyal Customers
3203,15581,121,38,7794.59,3,5,5,13,Champions
3204,15582,25,3,682.9100000000001,4,2,3,9,Needs Attention
3205,15583,376,1,107.86,2,1,1,4,At Risk
3206,15584,24,6,1277.5,4,3,4,11,Loyal Customers
3207,15585,177,1,455.3,3,1,2,6,At Risk
3208,15586,593,3,1139.1,1,2,3,6,At Risk
3209,15587,50,7,1522.0800000000002,4,3,4,11,Loyal Customers
3210,15588,678,1,579.6,1,1,2,4,At Risk
3211,15589,256,3,478.53000000000003,2,2,2,6,At Risk
3212,15590,382,5,1496.6,2,3,4,9,Needs Attention
3213,15591,583,3,217.9,1,2,1,4,At Risk
3214,15592,47,1,388.58,4,1,2,7,Needs Attention
3215,15593,71,1,199.8,3,1,1,5,At Risk
3216,15594,16,5,1771.78,5,3,4,12,Loyal Customers
3217,15595,488,1,357.6,1,1,2,4,At Risk
3218,15596,101,9,3130.04,3,4,5,12,Loyal Customers
3219,15597,35,2,563.37,4,2,2,8,Needs Attention
3220,15598,53,2,548.02,4,2,2,8,Needs Attention
3221,15599,27,3,1250.06,4,2,4,10,Loyal Customers
3222,15600,428,4,1199.31,1,3,3,7,Needs Attention
3223,15601,11,30,14960.12,5,5,5,15,Champions
3224,15602,8,16,3230.51,5,5,5,15,Champions
3225,15603,79,2,88.48,3,2,1,6,At Risk
3226,15604,52,1,216.39,4,1,1,6,At Risk
3227,15605,36,9,1936.8,4,4,4,12,Loyal Customers
3228,15606,61,17,5230.99,3,5,5,13,Champions
3229,15607,337,9,1708.97,2,4,4,10,Loyal Customers
3230,15608,28,5,1785.98,4,3,4,11,Loyal Customers
3231,15609,184,1,298.48,3,1,2,6,At Risk
3232,15610,52,1,112.46000000000001,4,1,1,6,At Risk
3233,15611,10,26,2997.28,5,5,5,15,Champions
3234,15612,36,2,195.15,4,2,1,7,Needs Attention
3235,15613,610,1,433.71999999999997,1,1,2,4,At Risk
3236,15614,438,4,3147.36,1,3,5,9,Needs Attention
3237,15615,10,47,21373.97,5,5,5,15,Champions
3238,15616,438,1,317.11,1,1,2,4,At Risk
3239,15617,396,3,828.5500000000001,2,2,3,7,Needs Attention
3240,15618,33,4,776.851,4,3,3,10,Loyal Customers
3241,15619,11,1,336.40000000000003,5,1,2,8,Needs Attention
3242,15620,57,4,1942.36,4,3,4,11,Loyal Customers
3243,15621,4,4,1293.03,5,3,4,12,Loyal Customers
3244,15622,43,17,7852.61,4,5,5,14,Champions
3245,15623,141,8,2437.05,3,4,4,11,Loyal Customers
3246,15624,117,4,588.13,3,3,2,8,Needs Attention
3247,15625,104,9,3236.4,3,4,5,12,Loyal Customers
3248,15626,75,3,1067.52,3,2,3,8,Needs Attention
3249,15627,457,2,566.9,1,2,2,5,At Risk
3250,15628,5,17,5652.26,5,5,5,15,Champions
3251,15629,450,4,2240.9,1,3,4,8,Needs Attention
3252,15630,45,3,1481.4,4,2,4,10,Loyal Customers
3253,15631,642,1,596.67,1,1,2,4,At Risk
3254,15632,16,8,3285.31,5,4,5,14,Champions
3255,15633,509,13,4352.46,1,4,5,10,Loyal Customers
3256,15634,17,2,554.65,5,2,2,9,Needs Attention
3257,15635,396,1,100.35,2,1,1,4,At Risk
3258,15636,90,4,1444.58,3,3,4,10,Loyal Customers
3259,15637,53,5,797.59,4,3,3,10,Loyal Customers
3260,15638,379,6,2265.2,2,3,4,9,Needs Attention
3261,15639,134,3,1065.08,3,2,3,8,Needs Attention
3262,15640,4,29,23957.58,5,5,5,15,Champions
3263,15641,105,12,5345.55,3,4,5,12,Loyal Customers
3264,15642,730,1,105.78000000000002,1,1,1,3,At Risk
3265,15643,192,3,664.0,2,2,3,7,Needs Attention
3266,15644,166,4,813.0,3,3,3,9,Needs Attention
3267,15645,19,3,1055.17,5,2,3,10,Loyal Customers
3268,15646,158,5,974.61,3,3,3,9,Needs Attention
3269,15647,415,1,169.0,1,1,1,3,At Risk
3270,15648,204,2,657.35,2,2,3,7,Needs Attention
3271,15649,336,4,2170.35,2,3,4,9,Needs Attention
3272,15650,522,2,553.88,1,2,2,5,At Risk
3273,15651,37,5,1259.06,4,3,4,11,Loyal Customers
3274,15652,91,5,1420.34,3,3,4,10,Loyal Customers
3275,15653,93,2,877.4399999999999,3,2,3,8,Needs Attention
3276,15654,9,2,922.53,5,2,3,10,Loyal Customers
3277,15655,243,1,560.67,2,1,2,5,At Risk
3278,15656,45,4,748.5,4,3,3,10,Loyal Customers
3279,15657,23,1,30.0,4,1,1,6,At Risk
3280,15658,190,8,2423.4700000000003,2,4,4,10,Loyal Customers
3281,15659,44,3,532.49,4,2,2,8,Needs Attention
3282,15660,25,15,2812.99,4,5,4,13,Champions
3283,15661,317,8,1215.95,2,4,3,9,Needs Attention
3284,15662,661,2,283.73,1,2,1,4,At Risk
3285,15663,106,1,138.14,3,1,1,5,At Risk
3286,15664,51,4,1254.03,4,3,4,11,Loyal Customers
3287,15665,168,5,4015.12,3,3,5,11,Loyal Customers
3288,15666,472,2,632.9399999999999,1,2,3,6,At Risk
3289,15667,40,1,301.32,4,1,2,7,Needs Attention
3290,15668,218,1,76.32000000000001,2,1,1,4,At Risk
3291,15669,40,4,684.34,4,3,3,10,Loyal Customers
3292,15670,297,2,325.2,2,2,2,6,At Risk
3293,15671,19,7,2657.13,5,3,4,12,Loyal Customers
3294,15672,725,1,45.300000000000004,1,1,1,3,At Risk
3295,15673,88,9,6414.79,3,4,5,12,Loyal Customers
3296,15674,73,13,6948.2300000000005,3,4,5,12,Loyal Customers
3297,15675,81,4,542.04,3,3,2,8,Needs Attention
3298,15676,19,3,3435.76,5,2,5,12,Loyal Customers
3299,15677,49,3,1305.63,4,2,4,10,Loyal Customers
3300,15678,53,3,1893.89,4,2,4,10,Loyal Customers
3301,15679,24,4,781.28,4,3,3,10,Loyal Customers
3302,15680,9,10,4507.58,5,4,5,14,Champions
3303,15681,25,14,2989.7,4,5,5,14,Champions
3304,15682,599,2,318.24,1,2,2,5,At Risk
3305,15683,117,2,524.54,3,2,2,7,Needs Attention
3306,15684,547,3,173.95,1,2,1,4,At Risk
3307,15685,450,1,55.980000000000004,1,1,1,3,At Risk
3308,15686,420,1,90.0,1,1,1,3,At Risk
3309,15687,9,9,2993.1,5,4,5,14,Champions
3310,15688,419,1,190.57,1,1,1,3,At Risk
3311,15689,120,3,521.03,3,2,2,7,Needs Attention
3312,15690,4,2,239.76,5,2,1,8,Needs Attention
3313,15691,252,4,571.3,2,3,2,7,Needs Attention
3314,15692,28,1,191.04,4,1,1,6,At Risk
3315,15693,659,1,37.5,1,1,1,3,At Risk
3316,15694,1,24,10810.81,5,5,5,15,Champions
3317,15695,267,4,1131.04,2,3,3,8,Needs Attention
3318,15696,33,13,3906.57,4,4,5,13,Champions
3319,15697,690,1,246.75,1,1,1,3,At Risk
3320,15698,624,1,46.2,1,1,1,3,At Risk
3321,15699,18,1,309.65,5,1,2,8,Needs Attention
3322,15700,172,2,696.68,3,2,3,8,Needs Attention
3323,15701,2,4,1542.14,5,3,4,12,Loyal Customers
3324,15702,476,2,140.39000000000001,1,2,1,4,At Risk
3325,15703,265,1,211.5,2,1,1,4,At Risk
3326,15704,140,6,3817.96,3,3,5,11,Loyal Customers
3327,15705,201,1,143.1,2,1,1,4,At Risk
3328,15706,64,4,1060.56,3,3,3,9,Needs Attention
3329,15707,35,4,945.58,4,3,3,10,Loyal Customers
3330,15708,41,9,4378.72,4,4,5,13,Champions
3331,15709,284,2,327.85,2,2,2,6,At Risk
3332,15710,417,1,898.87,1,1,3,5,At Risk
3333,15711,557,2,420.25,1,2,2,5,At Risk
3334,15712,9,12,3472.4100000000003,5,4,5,14,Champions
3335,15713,143,4,1010.79,3,3,3,9,Needs Attention
3336,15714,12,5,784.8100000000001,5,3,3,11,Loyal Customers
3337,15715,556,5,658.02,1,3,3,7,Needs Attention
3338,15716,146,11,3056.81,3,4,5,12,Loyal Customers
3339,15717,234,5,607.0,2,3,2,7,Needs Attention
3340,15718,540,1,293.79,1,1,2,4,At Risk
3341,15719,33,31,10223.06,4,5,5,14,Champions
3342,15720,24,2,741.92,4,2,3,9,Needs Attention
3343,15721,12,1,507.08,5,1,2,8,Needs Attention
3344,15722,36,11,5258.1,4,4,5,13,Champions
3345,15723,365,4,947.65,2,3,3,8,Needs Attention
3346,15724,201,3,310.85,2,2,2,6,At Risk
3347,15725,15,1,415.25,5,1,2,8,Needs Attention
3348,15726,390,1,321.91,2,1,2,5,At Risk
3349,15727,17,15,9445.51,5,5,5,15,Champions
3350,15728,380,2,544.6,2,2,2,6,At Risk
3351,15729,213,3,192.55,2,2,1,5,At Risk
3352,15730,66,5,1726.58,3,3,4,10,Loyal Customers
3353,15731,554,1,125.3,1,1,1,3,At Risk
3354,15732,212,10,1682.07,2,4,4,10,Loyal Customers
3355,15733,283,1,162.3,2,1,1,4,At Risk
3356,15734,115,4,2263.3,3,3,4,10,Loyal Customers
3357,15735,421,1,327.68,1,1,2,4,At Risk
3358,15736,435,2,1815.72,1,2,4,7,Needs Attention
3359,15737,15,8,1205.1200000000001,5,4,3,12,Loyal Customers
3360,15738,19,41,13372.970000000001,5,5,5,15,Champions
3361,15739,66,1,449.12,3,1,2,6,At Risk
3362,15740,49,1,154.88,4,1,1,6,At Risk
3363,15741,458,2,208.62,1,2,1,4,At Risk
3364,15742,619,1,156.87,1,1,1,3,At Risk
3365,15743,16,4,784.46,5,3,3,11,Loyal Customers
3366,15744,78,1,34.8,3,1,1,5,At Risk
3367,15745,19,4,1094.59,5,3,3,11,Loyal Customers
